election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/af735604-66d5-42e4-9a84-90c1b369fae0,1263795,159,PROP 67 - EMERGENCY AND MEDICAL SERVICES. FUNDING. TELEPHONE SURCHAGE. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/5e3d1b81-0a72-45eb-b2c4-166b307618e4,1263263,160,"PROP 68 - TRIBAL GAMING COMPACT RENEGOTIATION. NON-TRIBAL COMMERCIAL GAMBLING EXPANSION. REVENUES, TAX EXEMPTIONS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE."
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/0d3e9496-4278-48a0-a2b7-982e88c92940,1264308,161,PROP 69 - DNA SAMPLES. COLLECTION. DATABASE. FUNDING. INITIATIVE STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/41e33054-ac7e-477e-94e9-0a61c09f55d9,1264620,162,PROP 70 - TRIBAL GAMING COMPACTS. EXCLUSIVE GAMING RIGHTS. CONTRIBUTIONS TO STATE. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/cfd09d0a-292d-41bf-aa1b-4fc95e82b055,1265692,163,PROP 71 - STEM CELL RESEARCH. FUNDING. BONDS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/c4862737-3c86-4503-8177-fcd22f8d2502,1260875,164,PROP 72 - REFERENDUM PETITION TO OVERTURN AMENDMENTS TO HEALTH CARE COVERAGE REQUIREMENTS.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/bd2eb16e-cebd-4235-9f86-37fc86421faf,1276349,103,PROP 73 - TERMINATION OF MINOR'S PREGNANCY. WAITING PERIOD AND PARENTAL NOTIFICATION. INITIATIVE CONSTITUTIONAL AMENDMENT.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/a47f8679-db04-4e8b-a0eb-dbb508226f3d,1275738,104,PROP 74 - PUBLIC SCHOOL TEACHERS. WAITING PERIOD FOR PERMANENT STATUS. DISMISSAL. INITIATIVE STATUTE.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/322360f8-46f3-4cc2-89f6-49cabedd3362,1276369,105,PROP 75 - PUBLIC EMPLOYEE UNION DUES. REQUIRED EMPLOYEE CONSENT FOR POLITICAL CONTRIBUTIONS. INITIATIVE STATUTE.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/892664a9-6f39-47cb-b51a-013ab93628ab,1276374,106,PROP 76 - SCHOOL FUNDING. STATE SPENDING. INITIATIVE CONSTITUTIONAL AMENDMENT.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/f9089883-3264-4983-a15b-0c4bb32abc19,1276356,107,PROP 77 - REAPPORTIONMENT. INITIATIVE CONSTITUTIONAL AMENDMENT.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/c89f5c43-dd87-4885-a7eb-604585d47f33,1275966,108,PROP 78 - PRESCRIPTION DRUGS. DISCOUNTS. INITIATIVE STATUTE.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/a90f380c-406c-4347-a546-629fc2443b1a,1276277,109,PROP 79 - PRESCRIPTION DRUG DISCOUNTS. STATE-NEGOTIATED REBATES. INITIATIVE STATUTE.
2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00,ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,ocd-contest/7148d9af-7054-4d9e-b2c0-366a00178233,1275935,110,PROP 80 - ELECTRIC SERVICE PROVIDERS. REGULATION. INITIATIVE STATUTE.
