election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name,ccdc_committee_id,calaccess_committee_id,committee_name,committee_position
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",27,991693,YES ON 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",28,991694,CALIFORNIANS FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",29,991695,CALIFORNIA'S YES ON 1A COMMITTEE,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",30,991696,"YES ON 1A COMMITTEE, THE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",31,991825,STOP 1A - NO CASINOS COMMITTEE AGAINST PROPOSITION 1A,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/657c873b-e883-4982-9e9c-61919cdf5b35,1007686,10,"PROP 20 - 2000 AB 1453 (CHAPTER 800, 1998). CARDENAS. CALIFORNIA STATE LOTTERY: CARDENAS TEXTBOOK ACT OF 2000.",32,1220582,SCHOOL BOOKS FOR THE CHILDREN,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4761e254-4c5e-4bab-96c5-ebbb5dc7ef16,1007515,11,PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.,33,980133,"CALIFORNIANS TO END GANG VIOLENCE, YES ON PROP. 21",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4761e254-4c5e-4bab-96c5-ebbb5dc7ef16,1007515,11,PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.,34,991529,CALIFORNIANS FOR COMMUNITY SAFETY - NO ON 21,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4761e254-4c5e-4bab-96c5-ebbb5dc7ef16,1007515,11,PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.,35,992431,AMERICAN FRIENDS SERVICE COMMITTEE AGAINST PROP. 21,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4761e254-4c5e-4bab-96c5-ebbb5dc7ef16,1007515,11,PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.,36,1221968,CALIFORNIANS FOR COMMUNITY SAFETY- COMMITTEE AGAINST PROPOSITION 21,OPPOSE
