FILING_ID,AMEND_ID,LINE_ITEM,REC_TYPE,FORM_TYPE,TRAN_ID,AMOUNT,EXP_DATE,EXPN_DSCR,MEMO_CODE,MEMO_REFNO,DATE_THRU
992966,0,5,S496,F496,F496-1098,7.05,2/6/2004 12:00:00 AM,Food for Volunteers,,,
992967,0,1,S496,F496,F496-1090,351.29,2/6/2004 12:00:00 AM,Data for Walkpiece,,,
992967,0,2,S496,F496,F496-1097,50.82,2/6/2004 12:00:00 AM,Food for Volunteers,,,
992967,0,3,S496,F496,F496-1088,2696.05,2/6/2004 12:00:00 AM,Printing/Design for Walkpiece,,,
992967,0,4,S496,F496,F496-1092,35.34,2/6/2004 12:00:00 AM,Precint Maps,,,
992967,0,5,S496,F496,F496-1099,7.05,2/6/2004 12:00:00 AM,Food for Volunteers,,,
992969,0,1,S496,F496,F496-140,2696.05,2/6/2004 12:00:00 AM,Printing/Design for Walkpiece,,,
992969,0,2,S496,F496,F496-138,351.29,2/6/2004 12:00:00 AM,Data for Walkpiece,,,
992969,0,3,S496,F496,F496-139,50.81,2/6/2004 12:00:00 AM,Food for Volunteers,,,
992969,0,4,S496,F496,F496-142,7.06,2/6/2004 12:00:00 AM,Food for Volunteers,,,
992969,0,5,S496,F496,F496-141,35.33,2/6/2004 12:00:00 AM,Precint Maps,,,
992976,0,1,S496,F496,EDT13,21500,1/28/2004 12:00:00 AM,poll,,,
992976,0,2,S496,F496,EDT11,3707,1/28/2004 12:00:00 AM,consulting,,,
992976,0,3,S496,F496,EDT17,4676,1/31/2004 12:00:00 AM,mailer,,,
992976,0,4,S496,F496,EDT16,11000,1/31/2004 12:00:00 AM,poll,,,
992977,0,1,S496,F496,EDT14,20500,1/28/2004 12:00:00 AM,poll,,,
992977,0,2,S496,F496,EDT12,3534,1/28/2004 12:00:00 AM,consulting,,,
992977,0,3,S496,F496,EDT18,4830,1/31/2004 12:00:00 AM,mailer,,,
992977,0,4,S496,F496,EDT15,11000,1/31/2004 12:00:00 AM,poll,,,
993160,0,1,S496,F496,EDT8,30000,2/9/2004 12:00:00 AM,Advertising,,,
993189,0,1,S496,F496,2004-0316,19883.91,2/9/2004 12:00:00 AM,Wiggins Letter/Mailing,,2004-0316 ,
993192,0,1,S496,F496,CI14,1760,2/10/2004 12:00:00 AM,Radio Ad To Run 02/22/04 Thru 03/02/04,,,
993196,0,1,S496,F496,EDT9,25000,2/10/2004 12:00:00 AM,Cable Airtime and Production Costs (02/19/04 - 03/02/04),,,
993198,0,1,S496,F496,EDT80,7000,2/10/2004 12:00:00 AM,Campaign Consultants,,,
993227,0,1,S496,F496,EDT28,930,2/9/2004 12:00:00 AM,consulting,,,
993842,0,1,S496,F496,EDT81,7950,2/11/2004 12:00:00 AM,T.V. Airtime and Production Costs (02/10/04-03/01/04),,,
993844,0,1,S496,F496,2004-0322,14000,2/10/2004 12:00:00 AM,Mail & Voter Contact,,2004-0322 ,
993845,0,1,S496,F496,2004-0320,4165,2/10/2004 12:00:00 AM,Mailer,,2004-0320 ,
993846,0,1,S496,F496,2004-0321,53633,2/10/2004 12:00:00 AM,Cable TV Advertisements,,2004-0321 ,
993848,0,1,S496,F496,2004-0317,14906.67,2/10/2004 12:00:00 AM,Mailer,,2004-0317 ,
993851,0,1,S496,F496,2004-0324,7955,2/10/2004 12:00:00 AM,Slate Mailer,,2004-0324 ,
993852,0,1,S496,F496,2004-0323,149424.40,2/10/2004 12:00:00 AM,Broadcast TV Advertisements,,2004-0323 ,
993854,0,1,S496,F496,2004-0319,58000,2/10/2004 12:00:00 AM,Broadcast TV Advertisements,,2004-0319 ,
993860,0,1,S496,F496,EDT42,13444.77,2/10/2004 12:00:00 AM,mailer,,,
993860,0,2,S496,F496,EDT41,9833.43,2/10/2004 12:00:00 AM,mailer,,,
